created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Nov 14 16:47:53 +0000 2023,1724469210892390586,"Yesterday we said goodbye to Sir Bobby Charlton, club legend and passionate supporter of our work ❤️  We will use his legacy to inspire the next generation, as shown when Girls Academy player Eva took part in commemorations to celebrate his life.  More 🔗 https://t.co/8a1va2eGZM https://t.co/Kw7wfoye49",1,0,21,392,en,133358416,1724469210892390586,MU_Foundation,https://twitter.com/MU_Foundation/status/1724469210892390586,
Tue Nov 14 16:27:19 +0000 2023,1724464033082847688,@TripleNetInvest Chicago real estate is great if you like eye-watering instability around your largest expense.,1,9,3,292,en,951570783096238081,1724450835592351835,mu2myoc,https://twitter.com/mu2myoc/status/1724464033082847688,TripleNetInvest
Tue Nov 14 16:09:00 +0000 2023,1724459424201191489,ukiingia DMs kujibu a thirst trap in which you were not the TA https://t.co/u0jat9J8cU,9,8,75,170,en,1031942758930542592,1724459424201191489,Mareh3mu,https://twitter.com/Mareh3mu/status/1724459424201191489,
Tue Nov 14 16:04:45 +0000 2023,1724458357099053555,ugly broke niggas hizo drama za kukua claimed publicly ni small small problems we will never have,15,4,138,340,en,1031942758930542592,1724458357099053555,Mareh3mu,https://twitter.com/Mareh3mu/status/1724458357099053555,
Tue Nov 14 15:52:38 +0000 2023,1724455308058034423,"11/14/70   We will never forget. They are us, we are them. We are… Marshall    https://t.co/VFt0NXbwfC",5,1,91,382,en,2511218569,1724455308058034423,BarstoolMU,https://twitter.com/BarstoolMU/status/1724455308058034423,
Tue Nov 14 15:31:42 +0000 2023,1724450037319528461,IT WAS ABOUT TIME HONK HONK,0,13,11,392,en,1559918091223572481,1724450037319528461,TheMuYe,https://twitter.com/TheMuYe/status/1724450037319528461,
Tue Nov 14 15:26:42 +0000 2023,1724448778034323963,@DUSKdev What is the correct order on playing these?  Should I play Iron Lung to understand Garfield Lasagna Party or is it the other way around?  I need answers !!,0,1,0,296,en,1637206270930296833,1724262268626407755,Mu5tachedGames,https://twitter.com/Mu5tachedGames/status/1724448778034323963,DUSKdev
Tue Nov 14 15:03:22 +0000 2023,1724442905912176795,"Tyler Kolek (@KolekTyler) gets the steal and the game winning layup with 18 seconds left as @MarquetteMBB defeats #10 Illinois (@IlliniMBB) 67-66 on November 15, 2021 #mubb https://t.co/ARLaFu10g6",15,7,16,212,en,1194094691119194113,1724442905912176795,MUOverload,https://twitter.com/MUOverload/status/1724442905912176795,"KolekTyler, MarquetteMBB, IlliniMBB"
Tue Nov 14 14:54:37 +0000 2023,1724440706222109081,"Ngl complaing about this MU this patch seems off to me, Rat proved time and time again it's more than possible last patch and now it's more than just doable, I think it's just time Millias learn how to play around other characters more than trying to force their way of playing",3,27,16,254,en,1580289251723419650,1724440706222109081,SoraniFGC,https://twitter.com/SoraniFGC/status/1724440706222109081,
Tue Nov 14 14:06:30 +0000 2023,1724428597245432270,Not that easy for the Mu$lims.,1,17,221,1472,en,776460131722756100,1724428597245432270,JaipurDialogues,https://twitter.com/JaipurDialogues/status/1724428597245432270,
Tue Nov 14 13:06:46 +0000 2023,1724413565023764912,"Be yourself, and you can be anything  #ᴍᴊᴜᴛᴛ🙃 #Mɾ_𝗥𝟬β𝟬𝗧²⁶💚🤍 https://t.co/2lIl4e9O0N",0,11,119,377,en,1553898525062316034,1724413565023764912,iits_MuBii,https://twitter.com/iits_MuBii/status/1724413565023764912,
Tue Nov 14 12:32:57 +0000 2023,1724405053186773399,"BTP - Mu$lim officer, Imran Aftab. Whilst off duty, prowled central London, at night, looking for alone females. Imran used his warrant card to stop &amp  sexually proposition them. Sarah Everard!?! London police, you have a problem.   https://t.co/FF9FaG6xlY",8,30,439,606,en,186037135,1724405053186773399,RonEng1ish,https://twitter.com/RonEng1ish/status/1724405053186773399,
Tue Nov 14 11:18:03 +0000 2023,1724386207088398626,West Yorkshire - Mu$lims terrorise police who manage to escape 🧐,2,44,115,177,en,186037135,1724386207088398626,RonEng1ish,https://twitter.com/RonEng1ish/status/1724386207088398626,
Tue Nov 14 11:15:57 +0000 2023,1724385677184295274,"@seyilaw1 @seyilaw1 am admonishing you to promptly venture into Agriculture with the little resources left with you before is too late, comedy is not for you ooo🤷🏼‍♂️  A word is enough for the wise",2,20,10,301,en,1172445944261955586,1724367089824080062,RabiuDanladiMu1,https://twitter.com/RabiuDanladiMu1/status/1724385677184295274,"seyilaw1, seyilaw1"
Tue Nov 14 11:03:19 +0000 2023,1724382495913775321,《press》#太中 https://t.co/wAkbfE7DZN,4,1,293,2244,en,1715007066287304705,1724382495913775321,Ray_MuMing,https://twitter.com/Ray_MuMing/status/1724382495913775321,
Tue Nov 14 10:28:00 +0000 2023,1724373610788274316,"The only solution to Kampala roads and traffic is either cable cars or zipline  Rain comes with floods, bwowona floods nga ogwa mu potholes oba wakasomoka potholes mbu ate president is going to cut his hair in Nakasero all roads are closed💀 https://t.co/cJUUL0EAj2",1,10,47,303,en,1314582877,1724373610788274316,kingFahad_17,https://twitter.com/kingFahad_17/status/1724373610788274316,
Tue Nov 14 10:22:02 +0000 2023,1724372108724036091,She asked for it and got it wholesomely as a package 📦🤔🙌 Abantu bakoowu 🙌 https://t.co/Syy5AuTiA5,11,73,49,317,en,829577236734951424,1724372108724036091,kadobamosesUG,https://twitter.com/kadobamosesUG/status/1724372108724036091,
Tue Nov 14 08:56:11 +0000 2023,1724350502941466637,"Gender based violence haipere zvekumhanya nemaStatements enyu aya  One Drunk Men is More Intelligent than 3 Women with PHDs"" https://t.co/ZxoYKceMW4""",1,9,19,160,en,3149150837,1724350502941466637,Happie_Mu,https://twitter.com/Happie_Mu/status/1724350502941466637,
Tue Nov 14 03:46:43 +0000 2023,1724272622991806511,these are just the identified names of toddlers (0-2) https://t.co/pGKGFWRyYn,0,0,59,261,en,1359467324235862018,1724272622991806511,MU0GNABUO,https://twitter.com/MU0GNABUO/status/1724272622991806511,
